task_id,is_afternoon_slowdown,is_legitimate_idle_dominant,is_degrading_machine_task,is_inefficient_operator_task,is_seatbelt_habit_operator_task,has_near_miss
T001,False,True,False,False,False,False
T002,False,True,False,False,False,False
T003,False,True,False,False,False,False
T004,False,True,False,False,False,False
T005,False,True,False,True,False,False
T006,False,True,True,False,False,False
T007,False,True,True,True,False,False
T008,False,True,True,True,False,False
T009,False,True,True,False,False,False
T010,False,True,False,False,False,False
T011,False,False,False,False,True,False
T012,False,True,False,False,False,False
T013,False,True,False,False,False,False
T014,False,True,False,True,False,False
T015,False,True,False,True,False,False
T016,False,True,False,False,False,False
T017,False,True,False,True,False,False
T018,False,True,False,False,False,False
T019,False,True,False,True,False,False
T020,False,True,False,False,False,False
T021,False,True,False,False,False,False
T022,False,True,False,False,False,False
T023,False,True,False,False,False,False
T024,False,True,False,True,False,False
T025,False,True,False,False,False,True
T026,False,False,False,False,False,False
T027,False,True,False,True,False,False
T028,False,True,False,False,False,False
T029,False,True,False,False,False,False
T030,False,False,False,False,True,False
T031,False,True,False,False,False,False
T032,False,True,False,False,False,False
T033,False,True,False,False,False,False
T034,False,True,False,False,False,False
T035,False,True,False,False,False,False
T036,False,True,False,False,False,False
T037,False,True,False,True,False,False
T038,False,True,False,False,False,False
T039,False,True,False,True,False,False
T040,False,True,False,False,False,False
T041,False,True,False,False,False,False
T042,False,True,False,False,False,False
T043,False,True,False,False,False,True
T044,False,True,False,False,False,False
T045,False,True,False,False,False,False
T046,False,True,False,False,False,False
T047,True,True,False,False,False,False
T048,False,True,False,False,False,False
T049,False,True,False,False,False,False
T050,False,True,False,False,False,False
T051,False,True,False,False,False,False
T052,False,True,False,False,False,False
T053,False,True,True,False,False,False
T054,False,True,True,False,False,False
T055,False,True,True,False,False,False
T056,False,True,True,False,False,False
T057,False,True,True,True,False,False
T058,False,True,True,False,False,False
T059,False,True,False,False,False,False
T060,False,True,False,False,False,False
T061,False,True,False,False,False,False
T062,False,True,False,False,False,False
T063,False,False,False,False,True,False
T064,False,True,False,False,False,False
T065,False,True,False,True,False,False
T066,False,True,False,False,False,False
T067,False,True,False,False,True,False
T068,False,True,False,False,False,False
T069,False,True,False,False,False,False
T070,True,True,False,False,False,False
T071,True,True,False,False,False,False
T072,False,True,False,False,False,False
T073,False,False,False,False,True,False
T074,False,False,False,False,False,False
T075,False,False,False,False,True,False
T076,False,True,False,False,False,False
T077,False,True,False,True,False,False
T078,False,True,False,False,False,False
T079,False,True,False,False,False,False
T080,False,True,False,False,False,False
T081,False,True,False,False,False,False
T082,False,True,False,False,False,False
T083,False,True,False,False,False,False
T084,False,True,False,False,False,False
T085,True,True,False,False,False,False
T086,True,True,False,False,False,False
T087,False,True,False,False,False,False
T088,False,True,False,False,False,False
T089,False,True,False,False,False,False
T090,False,True,False,False,False,False
T091,False,True,False,False,True,False
T092,False,True,False,False,False,False
T093,False,True,False,False,False,False
T094,True,True,False,False,False,False
T095,False,True,False,False,False,False
T096,False,False,False,False,True,False
T097,False,True,False,False,False,False
T098,False,True,False,False,False,True
T099,False,True,False,False,False,False
T100,False,True,False,False,False,False
T101,False,True,False,False,False,False
T102,False,True,False,False,False,False
T103,False,True,False,False,False,False
T104,False,True,False,False,False,False
T105,False,True,True,False,False,False
T106,False,True,True,False,False,False
T107,False,True,True,True,False,True
T108,False,True,True,False,False,False
T109,False,True,True,False,False,False
T110,False,True,True,False,False,False
T111,False,True,False,False,False,False
T112,False,True,False,False,False,False
T113,False,True,False,False,False,False
T114,False,True,False,False,False,False
T115,False,True,False,False,False,False
T116,False,True,False,False,False,False
T117,False,True,False,False,False,False
T118,False,True,False,False,False,False
T119,False,True,False,False,False,False
T120,False,True,False,False,False,False
T121,False,True,False,False,False,False
T122,False,True,False,False,False,False
T123,False,True,False,False,True,False
T124,False,True,False,False,True,False
T125,False,True,False,False,False,False
T126,False,True,False,False,False,False
T127,False,False,False,False,False,False
T128,False,True,False,True,False,False
T129,False,True,False,False,False,False
T130,False,True,False,False,False,False
T131,False,True,False,False,False,False
T132,False,True,False,False,False,True
T133,False,True,False,False,False,False
T134,False,True,False,True,False,False
T135,False,True,False,False,False,False
T136,False,True,False,False,False,False
T137,False,True,False,False,False,False
T138,False,True,False,True,False,False
T139,False,True,False,False,False,False
T140,True,True,False,False,False,False
T141,False,True,False,False,False,True
T142,False,True,False,False,False,False
T143,False,True,False,False,False,False
T144,False,True,False,False,False,False
T145,False,True,False,True,False,False
T146,False,True,False,False,False,False
T147,False,True,False,False,False,False
T148,False,True,False,False,False,False
T149,False,True,False,False,False,False
T150,False,True,False,False,False,False
T151,False,True,False,False,False,False
T152,True,True,False,False,False,False
T153,False,True,True,False,False,False
T154,False,True,True,False,False,False
T155,False,True,True,False,False,False
T156,False,True,True,False,False,False
T157,False,True,True,False,False,False
T158,False,True,False,False,False,False
T159,False,True,False,False,False,False
T160,False,True,False,False,False,False
T161,False,True,False,False,False,False
T162,False,True,False,False,False,True
T163,False,True,False,False,False,False
T164,False,True,False,False,False,False
T165,False,True,False,False,False,True
T166,False,True,False,False,False,False
T167,False,True,False,False,False,False
T168,False,True,False,False,False,False
T169,False,True,False,False,False,False
T170,False,True,False,False,False,False
T171,False,False,False,False,False,False
T172,False,True,False,False,False,False
T173,False,True,False,False,False,False
T174,False,True,False,False,False,False
T175,False,True,False,False,False,False
T176,False,True,False,False,False,False
T177,False,True,False,False,False,False
T178,False,False,False,False,False,False
T179,False,True,False,False,False,False
T180,False,True,False,False,False,False
T181,False,True,False,False,False,False
T182,False,True,False,False,True,False
T183,False,True,False,False,False,False
T184,False,True,False,False,False,False
T185,False,True,False,False,False,False
T186,False,False,False,False,False,False
T187,False,True,False,False,False,False
T188,False,True,False,False,False,False
T189,False,True,False,False,False,False
T190,False,True,False,False,False,False
T191,False,True,False,False,False,True
T192,False,True,False,False,False,False
T193,False,True,False,True,False,False
T194,False,True,False,False,False,False
T195,False,True,False,False,False,False
T196,False,True,False,False,False,False
T197,False,True,False,False,False,False
T198,False,True,True,False,False,False
T199,False,True,True,False,False,False
T200,False,True,True,False,False,False
T201,False,True,True,False,False,False
T202,False,True,True,True,False,False
T203,False,True,True,False,False,False
T204,False,True,True,False,False,False
T205,True,True,True,False,False,False
T206,False,True,False,False,False,False
T207,False,True,False,False,False,False
T208,False,True,False,False,False,False
T209,False,False,False,False,True,False
T210,False,True,False,False,False,False
T211,False,True,False,False,False,False
T212,False,True,False,False,False,False
T213,False,True,False,False,False,False
T214,False,False,False,False,True,False
T215,False,True,False,True,False,False
T216,False,True,False,False,False,False
T217,False,True,False,False,False,False
T218,False,True,False,False,False,True
T219,False,True,False,False,False,False
T220,False,False,False,False,False,False
T221,False,True,False,False,False,False
T222,False,True,False,False,False,False
T223,False,True,False,False,False,False
T224,False,True,False,False,False,True
T225,False,False,False,False,False,False
T226,False,False,False,False,True,False
T227,False,True,False,False,False,False
T228,True,True,False,False,False,False
T229,False,False,False,False,True,False
T230,False,True,False,False,True,False
T231,False,True,False,False,False,False
T232,False,True,False,False,False,False
T233,False,True,False,False,False,False
T234,False,True,False,False,False,False
T235,False,True,False,False,False,False
T236,False,True,False,False,False,False
T237,False,True,False,False,False,False
T238,False,True,False,False,False,False
T239,False,True,False,False,False,False
T240,False,True,False,False,False,False
T241,False,True,False,False,False,False
T242,False,True,False,False,False,False
T243,False,True,False,False,False,False
T244,False,True,False,False,False,False
T245,False,True,False,False,False,False
T246,False,True,False,False,False,False
T247,False,True,False,False,False,False
T248,True,True,False,False,False,False
T249,False,True,True,False,False,False
T250,False,True,True,False,False,False
T251,False,True,True,False,False,True
T252,False,True,True,False,False,False
T253,False,True,False,False,False,False
T254,False,False,False,False,False,False
T255,False,True,False,False,False,False
T256,False,True,False,False,False,False
T257,False,True,False,False,False,False
T258,False,True,False,False,False,False
T259,False,True,False,False,False,False
T260,False,True,False,False,False,False
T261,False,True,False,False,False,False
T262,False,True,False,False,False,False
T263,False,True,False,False,False,False
T264,False,True,False,True,False,False
T265,False,True,False,True,False,False
T266,False,True,False,False,False,False
T267,False,True,False,True,False,False
T268,False,True,False,False,False,False
T269,False,True,False,False,False,False
T270,False,True,False,False,False,False
T271,False,True,False,False,False,False
T272,False,True,False,False,False,False
T273,False,True,False,False,False,False
T274,True,False,False,False,False,False
T275,False,True,False,False,False,False
T276,False,True,False,False,False,False
T277,False,True,False,False,False,False
T278,False,True,False,False,False,False
T279,False,False,False,False,True,True
T280,False,True,False,False,True,False
T281,True,True,False,False,False,False
T282,True,False,False,False,False,False
T283,False,True,False,False,False,False
T284,False,True,False,False,False,False
T285,False,True,False,False,False,False
T286,False,True,False,False,False,False
T287,False,True,False,False,False,False
T288,False,True,False,False,False,False
T289,False,True,False,False,False,False
T290,False,True,False,False,False,False
T291,False,True,False,False,False,False
T292,False,True,False,False,False,False
T293,False,True,False,False,False,False
T294,False,True,False,False,False,False
T295,False,True,False,False,False,False
T296,False,True,False,False,False,False
T297,False,True,False,False,False,False
T298,False,True,False,False,False,True
T299,False,True,False,False,False,False
T300,False,True,False,False,False,False
T301,True,True,False,False,False,False
T302,False,True,True,False,False,False
T303,False,True,True,False,False,False
T304,False,True,True,False,False,False
T305,False,True,True,True,False,False
T306,False,True,True,False,False,False
T307,False,False,False,False,True,True
T308,False,False,False,False,False,False
T309,False,True,False,False,False,False
T310,False,True,False,False,False,False
T311,False,True,False,False,False,False
T312,False,True,False,False,False,False
T313,False,True,False,False,False,False
T314,False,True,False,False,False,True
T315,False,True,False,False,False,False
T316,False,True,False,False,False,False
T317,False,True,False,False,False,False
T318,False,True,False,False,False,False
T319,False,False,False,False,False,False
T320,False,True,False,False,False,False
T321,False,True,False,False,False,False
T322,True,True,False,False,False,False
T323,False,True,False,False,False,False
T324,False,True,False,False,False,False
T325,False,True,False,False,False,False
T326,False,True,False,False,False,False
T327,False,True,False,False,False,False
T328,False,True,False,False,False,False
T329,False,True,False,False,False,False
T330,False,True,False,False,False,False
T331,False,True,False,False,False,False
T332,False,True,False,False,False,True
T333,False,True,False,False,False,False
T334,False,True,False,False,False,False
T335,False,True,False,False,False,False
T336,False,True,False,False,False,False
T337,False,True,False,False,False,True
T338,False,True,False,False,False,False
T339,False,True,False,False,False,False
T340,False,True,False,False,False,False
T341,False,True,False,False,False,False
T342,False,False,False,False,True,False
T343,False,True,False,False,False,False
T344,False,True,False,False,False,False
T345,False,True,True,False,False,False
T346,False,False,True,False,True,False
T347,False,True,True,False,False,False
T348,False,True,True,False,False,False
T349,False,True,True,False,False,False
T350,False,True,True,False,False,False
T351,False,True,False,False,False,False
T352,False,True,False,False,False,False
T353,False,True,False,False,False,False
T354,False,True,False,False,False,True
T355,False,True,False,False,False,False
T356,False,True,False,False,False,False
T357,False,True,False,False,False,False
T358,False,False,False,False,True,False
T359,False,True,False,False,False,False
T360,False,True,False,True,False,False
T361,False,True,False,False,False,False
T362,False,True,False,False,False,False
T363,False,True,False,False,False,False
T364,True,True,False,False,False,False
T365,True,True,False,False,False,False
T366,False,True,False,False,False,False
T367,False,True,False,False,False,False
T368,False,True,False,True,False,False
T369,False,True,False,False,False,False
T370,False,True,False,False,False,False
T371,False,True,False,True,False,False
T372,False,True,False,False,False,False
T373,False,True,False,False,False,False
T374,False,True,False,False,False,False
T375,False,True,False,True,False,False
T376,False,True,False,False,False,False
T377,False,True,False,False,False,False
T378,False,True,False,False,False,True
T379,False,True,False,True,False,False
T380,False,True,False,False,False,False
T381,False,True,False,False,False,False
T382,False,True,False,False,False,False
T383,False,True,False,False,False,False
T384,False,True,False,False,False,False
T385,False,True,False,False,False,False
T386,False,True,False,False,False,False
T387,False,True,False,False,False,False
T388,False,True,False,False,False,False
T389,False,True,False,False,False,False
T390,False,True,False,False,False,False
T391,False,True,False,False,False,False
T392,False,True,False,False,False,False
T393,False,True,False,True,False,True
T394,False,True,False,False,False,False
T395,False,True,False,False,False,False
T396,False,True,False,False,False,False
T397,False,False,True,False,False,False
T398,False,True,True,False,False,False
T399,False,True,True,False,False,False
T400,False,True,True,False,False,False
T401,False,True,True,False,False,False
T402,False,True,True,False,False,False
T403,False,False,True,False,False,False
T404,False,True,True,False,False,False
T405,False,True,False,False,False,False
T406,False,True,False,False,False,False
T407,False,True,False,False,False,False
T408,False,True,False,False,False,False
T409,False,True,False,False,False,False
T410,False,True,False,False,False,False
T411,True,True,False,False,False,False
T412,False,True,False,False,False,False
T413,False,False,False,False,False,False
T414,False,True,False,False,False,False
T415,False,True,False,False,False,False
T416,False,True,False,False,False,False
T417,False,True,False,False,False,False
T418,False,True,False,True,False,False
T419,False,True,False,False,False,False
T420,False,True,False,False,False,False
T421,False,True,False,False,False,False
T422,False,True,False,False,False,False
T423,False,True,False,False,False,False
T424,False,True,False,False,False,False
T425,False,True,False,False,False,False
T426,False,False,False,False,False,False
T427,False,True,False,False,False,False
T428,False,False,False,False,True,False
T429,False,True,False,False,False,False
T430,False,True,False,False,False,False
T431,False,True,False,False,False,False
T432,False,True,False,False,False,False
T433,False,True,False,False,True,False
T434,False,True,False,False,False,False
T435,False,True,False,False,False,False
T436,False,True,False,True,False,False
T437,False,True,False,False,False,False
T438,False,True,False,False,False,False
T439,False,True,False,False,False,False
T440,False,True,True,False,False,True
T441,False,True,True,False,False,False
T442,False,True,True,True,False,False
T443,False,True,True,False,False,False
T444,False,True,True,False,False,False
T445,False,True,True,False,False,False
T446,False,True,True,False,False,False
T447,True,True,True,True,False,False
T448,False,True,False,False,False,False
T449,False,True,False,False,False,False
T450,False,True,False,False,False,False
T451,False,True,False,False,False,False
T452,False,True,False,True,False,False
T453,False,True,False,False,False,False
T454,False,True,False,False,False,False
T455,False,True,False,False,False,False
T456,False,True,False,False,False,False
T457,False,True,False,False,False,True
T458,False,True,False,False,False,False
T459,False,True,False,False,False,False
T460,False,False,False,False,True,False
T461,False,True,False,False,False,False
T462,False,True,False,False,False,False
T463,False,True,False,False,False,False
T464,True,True,False,False,False,False
T465,False,True,False,False,False,False
T466,False,True,False,False,False,False
T467,False,False,False,False,True,False
T468,False,True,False,False,False,False
T469,False,True,False,False,False,False
T470,False,True,False,False,False,False
T471,False,True,False,False,False,False
T472,False,True,False,False,False,False
T473,False,True,False,False,False,False
T474,False,True,False,False,False,False
T475,False,True,False,False,False,False
T476,False,False,False,False,False,False
T477,False,True,False,False,False,False
T478,False,True,False,False,False,False
T479,False,False,False,False,True,False
T480,False,True,False,False,False,False
T481,False,False,False,False,False,False
T482,False,True,False,False,False,False
T483,False,True,False,False,False,False
T484,False,True,False,False,False,False
T485,False,True,True,False,False,False
T486,False,True,True,True,False,False
T487,False,True,True,False,False,True
T488,False,True,True,False,False,False
T489,False,True,True,False,False,True
T490,False,True,False,False,False,False
T491,False,False,False,False,False,False
T492,False,True,False,False,False,False
T493,False,True,False,True,False,False
T494,False,True,False,False,False,False
T495,False,True,False,False,False,False
T496,True,True,False,False,False,False
T497,False,True,False,False,False,False
T498,False,True,False,False,False,False
T499,False,True,False,False,False,True
T500,False,True,False,False,False,False
T501,False,True,False,False,False,False
T502,False,True,False,False,False,False
T503,False,False,False,False,True,False
T504,False,True,False,False,False,False
T505,False,True,False,False,False,False
T506,False,True,False,False,False,False
T507,False,True,False,False,False,False
T508,True,True,False,False,False,False
T509,False,True,False,False,False,True
T510,False,True,False,False,False,False
T511,False,True,False,False,False,False
T512,False,True,False,False,False,False
T513,False,True,False,False,False,False
T514,False,True,False,False,False,False
T515,False,True,False,False,False,True
T516,False,True,False,False,False,False
T517,False,True,False,False,False,False
T518,False,True,False,False,False,False
T519,False,True,False,True,False,False
T520,False,True,False,False,False,False
T521,False,True,False,False,False,False
T522,False,True,False,False,False,False
T523,False,True,False,False,False,False
T524,False,True,False,False,False,False
T525,False,True,False,True,False,False
T526,False,True,False,False,False,False
T527,False,True,False,False,False,False
T528,False,True,False,False,False,False
T529,False,True,False,False,False,False
T530,False,True,False,False,False,False
T531,False,True,True,False,False,False
T532,False,True,True,False,False,False
T533,False,True,True,False,False,False
T534,False,True,True,False,False,False
T535,True,True,True,False,False,False
T536,True,False,True,False,False,False
T537,False,True,False,False,False,False
T538,False,True,False,False,False,False
T539,False,True,False,False,False,False
T540,False,True,False,False,False,False
T541,False,True,False,False,False,False
T542,False,False,False,False,True,True
T543,False,True,False,False,False,False
T544,False,True,False,False,False,False
T545,False,True,False,False,False,False
T546,False,True,False,False,False,False
T547,False,True,False,False,False,False
T548,False,True,False,True,False,False
T549,False,True,False,False,False,False
T550,False,True,False,False,False,False
T551,False,True,False,False,False,False
T552,False,True,False,False,False,False
T553,False,False,False,False,False,True
T554,False,True,False,False,False,False
T555,False,True,False,False,False,False
T556,False,True,False,False,False,False
T557,False,True,False,False,False,False
T558,False,False,False,False,False,False
T559,False,True,False,False,False,False
T560,False,True,False,False,False,False
T561,False,True,False,True,False,False
T562,False,True,False,False,False,False
T563,False,True,False,False,False,False
