incident_id,timestamp,operator_id,machine_id,task_id,incident_type,severity,description
INC0001,2026-07-09 10:17:10.104369,OP1010,EXC002,T1802,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0002,2026-07-29 15:08:15.762029,OP1010,EXC001,T2735,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0003,2026-06-02 10:01:21.933207,OP1013,EXC008,T098,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0004,2026-07-07 13:56:16.660195,OP1013,EXC006,T1732,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0005,2026-06-17 09:29:36.827673,OP1003,EXC005,T768,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0006,2026-07-21 10:44:01.451664,OP1007,EXC004,T2368,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0007,2026-06-08 09:07:42.325116,OP1005,EXC002,T346,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0008,2026-07-27 12:50:38.625621,OP1006,EXC007,T2671,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0009,2026-06-13 09:43:26.344409,OP1004,EXC008,T611,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0010,2026-07-21 15:14:43.330484,OP1018,EXC002,T2359,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0011,2026-07-29 08:20:00.000000,OP1005,EXC003,T2742,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0012,2026-06-20 12:24:54.384031,OP1017,EXC003,T905,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0013,2026-06-21 12:01:44.978907,OP1002,EXC006,T976,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0014,2026-06-19 12:58:23.979158,OP1005,EXC005,T869,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0015,2026-06-20 12:29:54.384031,OP1017,EXC003,T905,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0016,2026-06-26 14:01:07.316735,OP1019,EXC002,T1186,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0017,2026-07-29 08:25:00.000000,OP1005,EXC003,T2742,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0018,2026-06-03 09:02:43.950401,OP1002,EXC001,T101,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0019,2026-06-13 07:45:00.000000,OP1019,EXC006,T598,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0020,2026-06-24 07:25:00.000000,OP1010,EXC001,T1079,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0021,2026-07-25 08:00:00.000000,OP1005,EXC005,T2565,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0022,2026-06-21 13:26:54.328494,OP1017,EXC004,T961,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0023,2026-06-06 12:10:10.126732,OP1005,EXC006,T279,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0024,2026-06-25 15:00:09.397729,OP1005,EXC005,T1158,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0025,2026-07-26 13:47:25.003721,OP1005,EXC008,T2630,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0026,2026-06-13 09:38:26.344409,OP1004,EXC008,T611,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0027,2026-06-02 10:39:15.245649,OP1005,EXC005,T075,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0028,2026-06-22 07:35:00.000000,OP1013,EXC005,T1015,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0029,2026-06-02 10:34:15.245649,OP1005,EXC005,T075,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0030,2026-06-21 12:19:55.292008,OP1017,EXC007,T982,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0031,2026-06-23 08:56:29.422196,OP1004,EXC003,T1046,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0032,2026-07-07 10:30:56.071703,OP1003,EXC002,T1706,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0033,2026-06-23 08:51:29.422196,OP1004,EXC003,T1046,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0034,2026-07-08 11:00:31.837277,OP1018,EXC006,T1780,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0035,2026-07-14 13:45:02.382274,OP1005,EXC004,T2058,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0036,2026-07-21 10:39:01.451664,OP1007,EXC004,T2368,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0037,2026-07-24 17:44:04.544525,OP1014,EXC002,T2504,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0038,2026-06-21 13:31:54.328494,OP1017,EXC004,T961,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0039,2026-06-21 09:48:02.113829,OP1007,EXC006,T974,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0040,2026-06-22 11:12:17.314567,OP1016,EXC001,T991,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0041,2026-07-30 08:40:11.498696,OP1007,EXC003,T2783,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0042,2026-06-29 08:17:33.362951,OP1020,EXC004,T1342,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0043,2026-06-25 10:50:43.588865,OP1006,EXC007,T1167,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0044,2026-06-02 09:17:33.019522,OP1010,EXC004,T065,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0045,2026-07-25 10:49:51.209199,OP1004,EXC005,T2567,seatbelt,medium,Seatbelt not fastened while machine in motion.
INC0046,2026-06-25 15:02:13.734782,,EXC004,T1151,near_miss,high,Worker W001 entered swing zone (2.38m).
INC0047,2026-06-10 11:17:44.964015,,EXC004,T457,near_miss,high,Worker W001 entered swing zone (1.72m).
INC0048,2026-07-15 13:15:25.721461,,EXC004,T2103,near_miss,high,Worker W004 entered swing zone (0.25m).
