near_miss_id,timestamp,worker_id,machine_id,task_id,distance_m
NM0001,2026-06-01 11:07:37.797589,W003,EXC005,T025,0.84
NM0002,2026-06-01 10:13:27.357857,W001,EXC008,T043,1.51
NM0003,2026-06-02 09:41:21.933207,W005,EXC008,T098,3.31
NM0004,2026-06-03 08:52:27.745513,W006,EXC002,T107,0.73
NM0005,2026-06-03 13:00:47.718133,W003,EXC006,T132,3.69
NM0006,2026-06-03 07:00:00.000000,W003,EXC008,T141,1.5
NM0007,2026-06-04 11:53:30.329116,W004,EXC003,T162,1.49
NM0008,2026-06-04 09:07:32.579473,W003,EXC004,T165,1.69
NM0009,2026-06-04 12:12:54.449881,W001,EXC008,T191,2.75
NM0010,2026-06-05 08:19:36.694622,W002,EXC005,T218,2.35
NM0011,2026-06-05 10:05:55.019660,W005,EXC006,T224,1.51
NM0012,2026-06-06 09:19:34.195124,W002,EXC002,T251,2.08
NM0013,2026-06-06 12:00:10.126732,W003,EXC006,T279,3.82
NM0014,2026-06-07 11:05:13.455371,W004,EXC001,T298,0.72
NM0015,2026-06-07 07:10:00.000000,W002,EXC003,T307,4.3
NM0016,2026-06-07 10:22:17.301687,W004,EXC004,T314,0.27
NM0017,2026-06-07 07:00:00.000000,W002,EXC008,T332,3.04
NM0018,2026-06-07 12:03:36.647643,W003,EXC008,T337,1.47
NM0019,2026-06-08 10:22:13.871358,W003,EXC003,T354,4.14
NM0020,2026-06-08 12:51:57.989475,W006,EXC006,T378,1.17
NM0021,2026-06-09 09:49:15.433860,W003,EXC001,T393,1.58
NM0022,2026-06-10 08:00:00.000000,W002,EXC002,T440,0.45
NM0023,2026-06-10 11:17:44.964015,W001,EXC004,T457,1.72
NM0024,2026-06-11 10:15:57.286491,W001,EXC002,T487,0.11
NM0025,2026-06-11 10:35:57.286491,W003,EXC002,T487,2.02
NM0026,2026-06-11 13:05:40.371700,W006,EXC002,T489,4.08
NM0027,2026-06-11 09:38:52.601130,W005,EXC004,T499,1.56
NM0028,2026-06-11 15:45:24.044701,W005,EXC005,T509,3.15
NM0029,2026-06-11 07:10:00.000000,W006,EXC007,T515,1.81
NM0030,2026-06-12 13:08:37.561738,W002,EXC003,T542,3.92
NM0031,2026-06-12 10:52:53.504587,W001,EXC005,T553,1.85
NM0032,2026-06-13 09:59:47.251553,W001,EXC001,T574,2.49
NM0033,2026-06-13 09:31:30.227689,W005,EXC002,T576,1.78
NM0034,2026-06-13 12:54:50.237169,W004,EXC002,T579,1.04
NM0035,2026-06-13 09:19:45.798481,W005,EXC003,T584,1.39
NM0036,2026-06-13 12:18:57.606451,W004,EXC004,T591,2.8
NM0037,2026-06-13 07:40:00.000000,W003,EXC005,T593,4.2
NM0038,2026-06-14 09:42:12.037191,W006,EXC003,T624,5.23
NM0039,2026-06-14 09:21:27.692646,W001,EXC007,T646,2.09
NM0040,2026-06-15 08:51:13.437919,W006,EXC002,T664,2.14
NM0041,2026-06-15 09:16:59.329564,W005,EXC003,T671,4.18
NM0042,2026-06-15 10:23:04.179346,W003,EXC006,T686,3.96
NM0043,2026-06-15 13:01:29.148031,W006,EXC006,T688,1.93
NM0044,2026-06-16 12:12:26.269341,W005,EXC001,T702,2.56
NM0045,2026-06-16 13:33:00.802694,W002,EXC001,T704,2.34
NM0046,2026-06-17 07:00:00.000000,W001,EXC001,T745,2.49
NM0047,2026-06-17 07:50:00.000000,W006,EXC001,T745,2.38
NM0048,2026-06-17 10:37:40.691155,W004,EXC001,T748,3.42
NM0049,2026-06-18 13:51:43.403112,W004,EXC002,T801,0.98
NM0050,2026-06-18 11:55:14.663177,W001,EXC003,T807,1.92
NM0051,2026-06-18 14:19:15.259329,W002,EXC003,T809,1.49
NM0052,2026-06-18 07:40:00.000000,W004,EXC004,T810,2.04
NM0053,2026-06-18 11:32:52.516562,W006,EXC004,T814,1.75
NM0054,2026-06-18 15:35:43.431388,W004,EXC007,T834,1.67
NM0055,2026-06-19 09:37:25.321089,W001,EXC001,T844,2.98
NM0056,2026-06-19 11:29:52.631520,W002,EXC001,T846,0.67
NM0057,2026-06-19 11:22:45.791986,W003,EXC002,T850,1.56
