operator_id,name,skill,base_speed,fatigue_start_hour,heat_sensitivity,rain_sensitivity,belt_skip_probability_when_idle
OP1001,Operator 1,expert,0.985,15,0.11,0.069,0.016
OP1002,Operator 2,intermediate,0.946,14,0.052,0.114,0.038
OP1003,Operator 3,expert,1.098,13,0.286,0.216,0.028
OP1004,Operator 4,intermediate,0.988,15,0.249,0.074,0.025
OP1005,Operator 5,novice,0.966,14,0.262,0.033,0.55
OP1006,Operator 6,expert,0.972,15,0.284,0.085,0.035
OP1007,Operator 7,expert,1.043,13,0.188,0.088,0.024
OP1008,Operator 8,expert,1.029,13,0.221,0.172,0.014
OP1009,Operator 9,novice,1.033,15,0.092,0.148,0.015
OP1010,Operator 10,intermediate,1.034,15,0.084,0.2,0.048
OP1011,Operator 11,intermediate,1.171,14,0.251,0.173,0.046
OP1012,Operator 12,expert,0.967,15,0.191,0.113,0.038
OP1013,Operator 13,intermediate,0.959,15,0.22,0.207,0.021
OP1014,Operator 14,expert,0.935,14,0.279,0.058,0.049
OP1015,Operator 15,intermediate,1.049,15,0.24,0.025,0.041
OP1016,Operator 16,novice,1.09,13,0.216,0.041,0.039
OP1017,Operator 17,intermediate,0.991,13,0.218,0.186,0.028
OP1018,Operator 18,novice,0.933,15,0.141,0.126,0.021
OP1019,Operator 19,expert,0.934,14,0.059,0.057,0.014
OP1020,Operator 20,intermediate,1.052,13,0.181,0.135,0.046
