task_id,task_type,zone,volume_m3,estimated_buckets,weather,operator_id,operator_skill,machine_id,machine_age,estimated_time_min,actual_time_min,start_time
T001,trenching,zone_a,97.5,65,clear,OP1001,expert,EXC001,5.5,32.5,30.6,2026-06-01 07:00:00.000000
T002,trenching,zone_a,77.6,52,clear,OP1014,expert,EXC001,5.5,26.0,29.4,2026-06-01 07:37:48.613316
T003,excavation,zone_a,88.2,59,clear,OP1011,intermediate,EXC001,5.5,29.5,35.1,2026-06-01 08:18:28.274703
T004,excavation,zone_a,159.9,107,clear,OP1019,expert,EXC001,5.5,53.5,55.5,2026-06-01 08:58:57.209970
T005,excavation,zone_a,87.8,59,rain,OP1010,intermediate,EXC001,5.5,34.8,36.3,2026-06-01 10:08:05.100888
T006,hauling,zone_b,64.2,43,clear,OP1012,expert,EXC002,7.7,21.5,55.3,2026-06-01 07:00:00.000000
T007,excavation,zone_b,151.4,101,clear,OP1010,intermediate,EXC002,7.7,50.5,50.3,2026-06-01 08:05:57.029668
T008,grading,zone_b,129.3,87,clear,OP1010,intermediate,EXC002,7.7,43.5,45.6,2026-06-01 09:08:44.982965
T009,grading,zone_b,124.2,83,rain,OP1017,intermediate,EXC002,7.7,48.9,57.0,2026-06-01 10:02:43.151604
T010,trenching,zone_c,127.0,85,clear,OP1003,expert,EXC003,7.2,42.5,35.3,2026-06-01 07:00:00.000000
T011,trenching,zone_c,87.5,59,clear,OP1005,novice,EXC003,7.2,29.5,53.1,2026-06-01 07:41:49.873867
T012,excavation,zone_c,105.1,71,clear,OP1001,expert,EXC003,7.2,35.5,37.9,2026-06-01 08:47:47.708005
T013,excavation,zone_c,202.6,136,clear,OP1014,expert,EXC003,7.2,68.0,68.8,2026-06-01 09:39:14.141313
T014,loading,zone_c,49.8,34,clear,OP1010,intermediate,EXC003,7.2,17.0,43.3,2026-06-01 11:00:57.621442
T015,grading,zone_c,134.2,90,clear,OP1010,intermediate,EXC003,7.2,45.0,52.8,2026-06-01 11:58:08.248094
T016,trenching,zone_d,57.6,39,clear,OP1002,intermediate,EXC004,8.0,19.5,26.3,2026-06-01 07:00:00.000000
T017,hauling,zone_d,61.0,41,clear,OP1010,intermediate,EXC004,8.0,20.5,49.8,2026-06-01 07:35:56.811851
T018,loading,zone_d,41.2,28,clear,OP1008,expert,EXC004,8.0,14.0,48.5,2026-06-01 08:36:29.434553
T019,hauling,zone_d,70.7,48,clear,OP1010,intermediate,EXC004,8.0,24.0,43.2,2026-06-01 09:30:15.066024
T020,excavation,zone_d,216.5,145,rain,OP1008,expert,EXC004,8.0,85.2,82.0,2026-06-01 10:27:34.348227
T021,loading,zone_a,42.2,29,clear,OP1011,intermediate,EXC005,1.5,14.5,60.3,2026-06-01 07:00:00.000000
T022,grading,zone_a,80.5,54,clear,OP1008,expert,EXC005,1.5,27.0,32.1,2026-06-01 08:13:15.994391
T023,hauling,zone_a,65.1,44,clear,OP1019,expert,EXC005,1.5,22.0,61.6,2026-06-01 08:51:50.395151
T024,grading,zone_a,62.0,42,rain,OP1010,intermediate,EXC005,1.5,24.8,32.4,2026-06-01 10:00:24.474664
T025,trenching,zone_a,82.2,55,rain,OP1018,novice,EXC005,1.5,32.1,44.3,2026-06-01 10:47:37.797589
T026,excavation,zone_a,142.8,96,clear,OP1013,intermediate,EXC005,1.5,48.0,57.5,2026-06-01 11:42:18.421180
T027,loading,zone_a,114.4,77,clear,OP1010,intermediate,EXC005,1.5,38.5,84.8,2026-06-01 12:45:10.532104
T028,hauling,zone_b,42.7,29,clear,OP1012,expert,EXC006,5.3,14.5,50.1,2026-06-01 07:00:00.000000
T029,excavation,zone_b,85.4,57,clear,OP1012,expert,EXC006,5.3,28.5,32.4,2026-06-01 07:59:55.266432
T030,grading,zone_b,62.2,42,clear,OP1005,novice,EXC006,5.3,21.0,46.6,2026-06-01 08:42:20.633179
T031,loading,zone_b,49.0,33,clear,OP1011,intermediate,EXC006,5.3,16.5,57.4,2026-06-01 09:39:15.802253
T032,excavation,zone_b,151.8,102,rain,OP1006,expert,EXC006,5.3,59.3,62.9,2026-06-01 10:51:38.694053
T033,trenching,zone_b,82.1,55,clear,OP1016,novice,EXC006,5.3,27.5,37.9,2026-06-01 12:01:17.017577
T034,grading,zone_b,137.7,92,clear,OP1020,intermediate,EXC006,5.3,46.0,51.1,2026-06-01 12:48:33.691257
T035,grading,zone_c,78.0,52,clear,OP1018,novice,EXC007,1.0,26.0,44.7,2026-06-01 07:00:00.000000
T036,loading,zone_c,103.2,69,clear,OP1013,intermediate,EXC007,1.0,34.5,60.7,2026-06-01 07:59:34.722433
T037,trenching,zone_c,92.8,62,clear,OP1010,intermediate,EXC007,1.0,31.0,34.2,2026-06-01 09:12:20.400886
T038,loading,zone_c,84.6,57,clear,OP1016,novice,EXC007,1.0,28.5,64.3,2026-06-01 09:58:28.112659
T039,grading,zone_c,80.9,54,clear,OP1010,intermediate,EXC007,1.0,27.0,36.3,2026-06-01 11:09:07.308045
T040,loading,zone_d,53.6,36,clear,OP1002,intermediate,EXC008,6.2,18.0,62.4,2026-06-01 07:00:00.000000
T041,trenching,zone_d,64.4,43,clear,OP1019,expert,EXC008,6.2,21.5,27.1,2026-06-01 08:16:42.932796
T042,hauling,zone_d,84.2,57,clear,OP1001,expert,EXC008,6.2,28.5,66.2,2026-06-01 08:53:13.004698
T043,excavation,zone_d,167.5,112,rain,OP1009,novice,EXC008,6.2,65.6,79.7,2026-06-01 10:13:27.357857
T044,trenching,zone_d,82.1,55,clear,OP1001,expert,EXC008,6.2,27.5,27.6,2026-06-01 11:39:12.782434
T045,excavation,zone_d,88.9,60,clear,OP1015,intermediate,EXC008,6.2,30.0,36.0,2026-06-01 12:12:10.707753
T046,grading,zone_d,93.6,63,cloudy,OP1014,expert,EXC008,6.2,32.4,38.4,2026-06-01 13:02:11.312931
T047,hauling,zone_d,70.9,48,cloudy,OP1016,novice,EXC008,6.2,24.7,64.3,2026-06-01 13:52:42.858450
T048,loading,zone_a,103.5,69,clear,OP1008,expert,EXC001,5.5,34.5,68.2,2026-06-02 07:00:00.000000
T049,grading,zone_a,127.1,85,clear,OP1011,intermediate,EXC001,5.5,42.5,45.2,2026-06-02 08:16:37.141983
T050,trenching,zone_a,102.0,68,clear,OP1020,intermediate,EXC001,5.5,34.0,35.9,2026-06-02 09:14:32.838925
T051,grading,zone_a,61.3,41,clear,OP1001,expert,EXC001,5.5,20.5,21.6,2026-06-02 09:59:22.268704
T052,excavation,zone_a,171.9,115,clear,OP1018,novice,EXC001,5.5,57.5,81.1,2026-06-02 10:35:12.475128
T053,grading,zone_b,131.0,88,clear,OP1015,intermediate,EXC002,7.7,44.0,50.5,2026-06-02 07:00:00.000000
T054,excavation,zone_b,207.3,139,clear,OP1006,expert,EXC002,7.7,69.5,74.6,2026-06-02 07:55:44.185871
T055,loading,zone_b,96.5,65,clear,OP1012,expert,EXC002,7.7,32.5,54.1,2026-06-02 09:15:41.822204
