timestamp,condition,temperature,rain_mm,wind_speed
2026-06-01 00:00:00,cloudy,9.0,0.0,24.9
2026-06-01 01:00:00,clear,8.1,0.0,4.5
2026-06-01 02:00:00,rain,7.2,7.6,8.2
2026-06-01 03:00:00,clear,9.6,0.0,10.2
2026-06-01 04:00:00,clear,13.7,0.0,13.0
2026-06-01 05:00:00,cloudy,16.9,0.0,13.4
2026-06-01 06:00:00,storm,21.3,3.0,21.7
2026-06-01 07:00:00,clear,25.3,0.0,19.7
2026-06-01 08:00:00,clear,24.0,0.0,2.4
2026-06-01 09:00:00,clear,24.1,0.0,12.5
2026-06-01 10:00:00,rain,24.0,3.3,16.2
2026-06-01 11:00:00,clear,28.6,0.0,12.6
2026-06-01 12:00:00,clear,27.4,0.0,5.0
2026-06-01 13:00:00,cloudy,27.7,0.0,11.1
2026-06-01 14:00:00,clear,26.5,0.0,11.5
2026-06-01 15:00:00,clear,25.6,0.0,6.3
2026-06-01 16:00:00,clear,25.4,0.0,19.4
2026-06-01 17:00:00,clear,21.7,0.0,9.4
2026-06-01 18:00:00,clear,18.7,0.0,15.5
2026-06-01 19:00:00,rain,14.8,11.6,13.9
2026-06-01 20:00:00,cloudy,11.5,0.0,22.2
2026-06-01 21:00:00,cloudy,11.3,0.0,4.8
2026-06-01 22:00:00,storm,10.4,10.5,4.6
2026-06-01 23:00:00,clear,12.2,0.0,8.9
2026-06-02 00:00:00,clear,9.4,0.0,11.9
2026-06-02 01:00:00,rain,11.1,7.5,8.9
2026-06-02 02:00:00,clear,9.9,0.0,19.6
2026-06-02 03:00:00,cloudy,10.5,0.0,7.6
2026-06-02 04:00:00,cloudy,13.0,0.0,3.9
2026-06-02 05:00:00,clear,15.8,0.0,11.5
2026-06-02 06:00:00,clear,22.7,0.0,19.8
2026-06-02 07:00:00,clear,20.9,0.0,21.6
2026-06-02 08:00:00,clear,25.8,0.0,18.9
2026-06-02 09:00:00,clear,25.4,0.0,14.8
2026-06-02 10:00:00,clear,29.7,0.0,18.7
2026-06-02 11:00:00,cloudy,30.0,0.0,17.7
2026-06-02 12:00:00,rain,29.5,6.8,7.4
2026-06-02 13:00:00,rain,29.4,11.1,14.7
2026-06-02 14:00:00,clear,27.5,0.0,19.7
2026-06-02 15:00:00,clear,27.6,0.0,9.3
2026-06-02 16:00:00,clear,24.2,0.0,17.0
2026-06-02 17:00:00,clear,20.7,0.0,13.1
2026-06-02 18:00:00,rain,18.1,5.9,13.6
2026-06-02 19:00:00,clear,17.7,0.0,4.1
2026-06-02 20:00:00,clear,17.5,0.0,17.3
2026-06-02 21:00:00,rain,13.3,5.0,21.9
2026-06-02 22:00:00,clear,11.3,0.0,5.3
2026-06-02 23:00:00,clear,11.0,0.0,10.4
2026-06-03 00:00:00,clear,12.2,0.0,3.1
2026-06-03 01:00:00,cloudy,10.9,0.0,2.7
2026-06-03 02:00:00,cloudy,11.0,0.0,24.8
2026-06-03 03:00:00,clear,14.9,0.0,13.3
2026-06-03 04:00:00,rain,16.0,7.9,10.2
2026-06-03 05:00:00,rain,20.1,8.3,8.3
2026-06-03 06:00:00,rain,20.7,4.3,24.5
2026-06-03 07:00:00,clear,21.2,0.0,7.8
2026-06-03 08:00:00,clear,23.4,0.0,18.7
2026-06-03 09:00:00,rain,30.1,11.3,8.5
2026-06-03 10:00:00,clear,31.8,0.0,3.6
2026-06-03 11:00:00,cloudy,30.0,0.0,17.7
2026-06-03 12:00:00,cloudy,30.0,0.0,2.0
2026-06-03 13:00:00,clear,32.5,0.0,17.5
2026-06-03 14:00:00,cloudy,27.6,0.0,7.8
2026-06-03 15:00:00,rain,26.4,7.8,19.2
2026-06-03 16:00:00,cloudy,26.7,0.0,19.7
2026-06-03 17:00:00,clear,22.7,0.0,18.7
2026-06-03 18:00:00,rain,20.7,3.6,2.6
2026-06-03 19:00:00,clear,17.9,0.0,18.2
2026-06-03 20:00:00,cloudy,16.3,0.0,24.8
2026-06-03 21:00:00,rain,15.8,4.3,7.6
2026-06-03 22:00:00,cloudy,12.3,0.0,8.3
2026-06-03 23:00:00,clear,12.1,0.0,20.7
2026-06-04 00:00:00,clear,7.8,0.0,5.7
2026-06-04 01:00:00,clear,11.1,0.0,17.2
2026-06-04 02:00:00,clear,11.0,0.0,19.4
2026-06-04 03:00:00,clear,12.0,0.0,2.9
2026-06-04 04:00:00,cloudy,14.6,0.0,14.7
2026-06-04 05:00:00,clear,17.8,0.0,15.2
2026-06-04 06:00:00,cloudy,22.3,0.0,9.0
2026-06-04 07:00:00,rain,21.5,10.9,22.2
2026-06-04 08:00:00,clear,26.0,0.0,5.7
2026-06-04 09:00:00,cloudy,27.3,0.0,10.4
2026-06-04 10:00:00,cloudy,29.1,0.0,21.5
2026-06-04 11:00:00,clear,32.1,0.0,6.4
2026-06-04 12:00:00,clear,31.8,0.0,20.9
2026-06-04 13:00:00,cloudy,32.7,0.0,3.8
2026-06-04 14:00:00,storm,29.4,9.4,13.3
2026-06-04 15:00:00,cloudy,27.0,0.0,3.7
2026-06-04 16:00:00,rain,25.7,4.0,17.6
2026-06-04 17:00:00,storm,24.0,2.5,20.2
2026-06-04 18:00:00,clear,21.3,0.0,21.5
2026-06-04 19:00:00,cloudy,16.8,0.0,24.6
2026-06-04 20:00:00,clear,16.1,0.0,17.5
2026-06-04 21:00:00,storm,14.3,7.9,19.7
2026-06-04 22:00:00,clear,16.1,0.0,13.6
2026-06-04 23:00:00,clear,14.1,0.0,23.0
2026-06-05 00:00:00,rain,9.7,10.4,16.8
2026-06-05 01:00:00,clear,10.9,0.0,22.3
2026-06-05 02:00:00,cloudy,10.1,0.0,7.4
2026-06-05 03:00:00,clear,13.0,0.0,13.4
2026-06-05 04:00:00,storm,16.4,4.6,18.8
2026-06-05 05:00:00,rain,20.2,1.9,6.7
2026-06-05 06:00:00,clear,19.8,0.0,6.9
2026-06-05 07:00:00,cloudy,22.5,0.0,24.5
2026-06-05 08:00:00,clear,22.7,0.0,12.0
2026-06-05 09:00:00,cloudy,27.7,0.0,6.2
2026-06-05 10:00:00,cloudy,28.0,0.0,9.6
2026-06-05 11:00:00,rain,29.7,4.1,11.1
2026-06-05 12:00:00,clear,29.5,0.0,16.3
2026-06-05 13:00:00,clear,30.4,0.0,23.2
2026-06-05 14:00:00,cloudy,26.8,0.0,24.7
2026-06-05 15:00:00,cloudy,25.7,0.0,17.0
2026-06-05 16:00:00,clear,29.0,0.0,18.1
2026-06-05 17:00:00,clear,21.4,0.0,9.4
